id,target,name,rel,x,y
513t0jZUP0K98C4h7KHtEb,5ivCbtrcD5N4rD337xIb2z,513t0jZUP0K98C4h7KHtEb,513t0jZUP0K98C4h7KHtEb-->5ivCbtrcD5N4rD337xIb2z,306.838134765625,-588.1456909179688
513t0jZUP0K98C4h7KHtEb,7LAucJAvbQa7ZIA0qP8YI2,513t0jZUP0K98C4h7KHtEb,513t0jZUP0K98C4h7KHtEb-->7LAucJAvbQa7ZIA0qP8YI2,306.838134765625,-588.1456909179688
513t0jZUP0K98C4h7KHtEb,2QSPrJfYeRXaltEEiriXN9,513t0jZUP0K98C4h7KHtEb,513t0jZUP0K98C4h7KHtEb-->2QSPrJfYeRXaltEEiriXN9,306.838134765625,-588.1456909179688
513t0jZUP0K98C4h7KHtEb,6VXZCpbkwm0W0aPjQR1t4K,513t0jZUP0K98C4h7KHtEb,513t0jZUP0K98C4h7KHtEb-->6VXZCpbkwm0W0aPjQR1t4K,306.838134765625,-588.1456909179688
513t0jZUP0K98C4h7KHtEb,5WId4o5jdGVhptNU0uqKxu,513t0jZUP0K98C4h7KHtEb,513t0jZUP0K98C4h7KHtEb-->5WId4o5jdGVhptNU0uqKxu,306.838134765625,-588.1456909179688
5BcAKTbp20cv7tC5VqPFoC,3JhNCzhSMTxs9WLGJJxWOY,5BcAKTbp20cv7tC5VqPFoC,5BcAKTbp20cv7tC5VqPFoC-->3JhNCzhSMTxs9WLGJJxWOY,-366.02783203125,-601.9260864257812
5BcAKTbp20cv7tC5VqPFoC,6f0hUHWLOCxCSDQMtdVAS7,5BcAKTbp20cv7tC5VqPFoC,5BcAKTbp20cv7tC5VqPFoC-->6f0hUHWLOCxCSDQMtdVAS7,-366.02783203125,-601.9260864257812
0AWhixY9hX7LEPyPMjh4O0,6QeZTS8BrU3r2TYJdA68j9,0AWhixY9hX7LEPyPMjh4O0,0AWhixY9hX7LEPyPMjh4O0-->6QeZTS8BrU3r2TYJdA68j9,-353.88226318359375,1614.75537109375
0AWhixY9hX7LEPyPMjh4O0,2RE8NwNxsOyuNZDD0jRxHP,0AWhixY9hX7LEPyPMjh4O0,0AWhixY9hX7LEPyPMjh4O0-->2RE8NwNxsOyuNZDD0jRxHP,-353.88226318359375,1614.75537109375
3NoeRIxHApi6qe4yan2Vnn,1UfzhwcOR4yfX7yHTPfC9m,3NoeRIxHApi6qe4yan2Vnn,3NoeRIxHApi6qe4yan2Vnn-->1UfzhwcOR4yfX7yHTPfC9m,339.4619140625,-560.920166015625
3NoeRIxHApi6qe4yan2Vnn,7oHJbmt1VAj16Tm6nJpSqr,3NoeRIxHApi6qe4yan2Vnn,3NoeRIxHApi6qe4yan2Vnn-->7oHJbmt1VAj16Tm6nJpSqr,339.4619140625,-560.920166015625
3NoeRIxHApi6qe4yan2Vnn,3lDpdwM8KILepMHqBWUhIA,3NoeRIxHApi6qe4yan2Vnn,3NoeRIxHApi6qe4yan2Vnn-->3lDpdwM8KILepMHqBWUhIA,339.4619140625,-560.920166015625
3NoeRIxHApi6qe4yan2Vnn,0L8jXe7QeS9oYUoXbANmX4,3NoeRIxHApi6qe4yan2Vnn,3NoeRIxHApi6qe4yan2Vnn-->0L8jXe7QeS9oYUoXbANmX4,339.4619140625,-560.920166015625
3NoeRIxHApi6qe4yan2Vnn,67Dg546QfThu4PuanvFD8y,3NoeRIxHApi6qe4yan2Vnn,3NoeRIxHApi6qe4yan2Vnn-->67Dg546QfThu4PuanvFD8y,339.4619140625,-560.920166015625
3NoeRIxHApi6qe4yan2Vnn,7xSEWLsywYbocdtt3xsQsU,3NoeRIxHApi6qe4yan2Vnn,3NoeRIxHApi6qe4yan2Vnn-->7xSEWLsywYbocdtt3xsQsU,339.4619140625,-560.920166015625
6QeZTS8BrU3r2TYJdA68j9,2RE8NwNxsOyuNZDD0jRxHP,6QeZTS8BrU3r2TYJdA68j9,6QeZTS8BrU3r2TYJdA68j9-->2RE8NwNxsOyuNZDD0jRxHP,-382.5605163574219,1586.3978271484375
6QeZTS8BrU3r2TYJdA68j9,0AWhixY9hX7LEPyPMjh4O0,6QeZTS8BrU3r2TYJdA68j9,6QeZTS8BrU3r2TYJdA68j9-->0AWhixY9hX7LEPyPMjh4O0,-382.5605163574219,1586.3978271484375
29noXXNLw1uvxcnd6PLMkS,1jNnM5dm7dzt16IocWCvJc,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->1jNnM5dm7dzt16IocWCvJc,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,4iiQabGKtS2RtTKpVkrVTw,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->4iiQabGKtS2RtTKpVkrVTw,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,2KOCXIEmkM6K82nL9fovWf,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->2KOCXIEmkM6K82nL9fovWf,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,3RthMq3xfDQZl80cMEg1JQ,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->3RthMq3xfDQZl80cMEg1JQ,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,6ZUjdwG0NvY6MT7vvmluhV,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->6ZUjdwG0NvY6MT7vvmluhV,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,0ZxZlO7oWCSYMXhehpyMvE,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->0ZxZlO7oWCSYMXhehpyMvE,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,6R664N4cEza3eORSqKSgO4,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->6R664N4cEza3eORSqKSgO4,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,0YhUSm86okLWldQVwJkLlP,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->0YhUSm86okLWldQVwJkLlP,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,5OgSr6wQteRu9jek5JvnDQ,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->5OgSr6wQteRu9jek5JvnDQ,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,4Cjsh7anKDaMnQ3YHB1Xwq,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->4Cjsh7anKDaMnQ3YHB1Xwq,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,2OK16hAFRHoJiFZKeZe8A8,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->2OK16hAFRHoJiFZKeZe8A8,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,67Dg546QfThu4PuanvFD8y,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->67Dg546QfThu4PuanvFD8y,562.706298828125,-598.4721069335938
29noXXNLw1uvxcnd6PLMkS,7xSEWLsywYbocdtt3xsQsU,29noXXNLw1uvxcnd6PLMkS,29noXXNLw1uvxcnd6PLMkS-->7xSEWLsywYbocdtt3xsQsU,562.706298828125,-598.4721069335938
3sk9GNYRthjLjrZDflxhiB,1jNnM5dm7dzt16IocWCvJc,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->1jNnM5dm7dzt16IocWCvJc,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,5acfZKELBZRBvyhrC0kzG1,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->5acfZKELBZRBvyhrC0kzG1,412.9751281738281,-698.1439208984375
3sk9GNYRthjLjrZDflxhiB,4iiQabGKtS2RtTKpVkrVTw,3sk9GNYRthjLjrZDflxhiB,3sk9GNYRthjLjrZDflxhiB-->4iiQabGKtS2RtTKpVkrVTw,412.9751281738281,-698.1439208984375
