Source,Target,type
5Lhxlge1CR1DrgDAje8Qaw,3DFoVPonoAAt4EZ1FEI8ue,undirected
5Lhxlge1CR1DrgDAje8Qaw,7FhRUp59cBzPaxobsRY1Nc,undirected
5Lhxlge1CR1DrgDAje8Qaw,4qOzMSukiZoiSjPQw8Zs7s,undirected
5Lhxlge1CR1DrgDAje8Qaw,4wYk01oPJNfaEssVFL46oQ,undirected
5wPoxI5si3eJsYYwyXV4Wi,2RdwBSPQiwcmiDo9kixcl8,undirected
5wPoxI5si3eJsYYwyXV4Wi,7aA592KWirLsnfb5ulGWvU,undirected
5wPoxI5si3eJsYYwyXV4Wi,4EMtGVFvfCSrEmWaGV0roE,undirected
5wPoxI5si3eJsYYwyXV4Wi,0ONHkAv9pCAFxb0zJwDNTy,undirected
5wPoxI5si3eJsYYwyXV4Wi,3ZotbHeyVQKxQCPDJuQ4SU,undirected
2YZyLoL8N0Wb9xBt1NhZWg,5IcR3N7QB1j6KBL8eImZ8m,undirected
2YZyLoL8N0Wb9xBt1NhZWg,2h93pZq0e7k5yf4dywlkpM,undirected
2YZyLoL8N0Wb9xBt1NhZWg,17lzZA2AlOHwCwFALHttmp,undirected
2YZyLoL8N0Wb9xBt1NhZWg,7aA592KWirLsnfb5ulGWvU,undirected
2YZyLoL8N0Wb9xBt1NhZWg,73sIBHcqh3Z3NyqHKZ7FOL,undirected
2YZyLoL8N0Wb9xBt1NhZWg,0ONHkAv9pCAFxb0zJwDNTy,undirected
2YZyLoL8N0Wb9xBt1NhZWg,13ubrt8QOOCPljQ2FL1Kca,undirected
2RdwBSPQiwcmiDo9kixcl8,3ZotbHeyVQKxQCPDJuQ4SU,undirected
2RdwBSPQiwcmiDo9kixcl8,0ONHkAv9pCAFxb0zJwDNTy,undirected
5tFRohaO5yEsuJxmMnlCO9,2HOMW1liAxI3URnEq95SMS,undirected
5tFRohaO5yEsuJxmMnlCO9,5ApQnMT6oR8eLguf24xb9S,undirected
02seUFsFQP7TH4hLrTj77o,3qnGvpP8Yth1AqSBMqON5x,undirected
02seUFsFQP7TH4hLrTj77o,16GcWuvvybAoaHr0NqT8Eh,undirected
02seUFsFQP7TH4hLrTj77o,5kuJibJcwOC53s3OkoGMRA,undirected
163tK9Wjr9P9DmM0AVK7lm,6sFIWsNpZYqfjUpaCgueju,undirected
163tK9Wjr9P9DmM0AVK7lm,6beUvFUlKliUYJdLOXNj9C,undirected
163tK9Wjr9P9DmM0AVK7lm,4Ui2kfOqGujY81UcPrb5KE,undirected
163tK9Wjr9P9DmM0AVK7lm,25uiPmTg16RbhZWAqwLBy5,undirected
163tK9Wjr9P9DmM0AVK7lm,2xe8IXgCTpwHE3eA9hTs4n,undirected
163tK9Wjr9P9DmM0AVK7lm,4TrraAsitQKl821DQY42cZ,undirected
163tK9Wjr9P9DmM0AVK7lm,1KP6TWI40m7p3QBTU6u2xo,undirected
4TrraAsitQKl821DQY42cZ,1mSJCvDX0W7Dn7S9C6vmvI,undirected
4TrraAsitQKl821DQY42cZ,6sFIWsNpZYqfjUpaCgueju,undirected
4TrraAsitQKl821DQY42cZ,2AmfMGi3WZMxqFDHissIAe,undirected
23EA28263XvtIrXuySX6oI,6iWuBN32BqCJAeXW6o3nil,undirected
23EA28263XvtIrXuySX6oI,0ojcq9LJQWMawQdFDw3M0L,undirected
23EA28263XvtIrXuySX6oI,39vA9YljbnOApXKniLWBZv,undirected
23EA28263XvtIrXuySX6oI,6FIrstf3kHEg3zBOyLpvxD,undirected
23EA28263XvtIrXuySX6oI,7gjAu1qr5C2grXeQFFOGeh,undirected
23EA28263XvtIrXuySX6oI,75dQReiBOHN37fQgWQrIAJ,undirected
23EA28263XvtIrXuySX6oI,4AGwPDdh1y8hochNzHy5HC,undirected
23EA28263XvtIrXuySX6oI,5WId4o5jdGVhptNU0uqKxu,undirected
23EA28263XvtIrXuySX6oI,6fLrPFLWLSCrp7gcTZXcKb,undirected
67WNUxmM7y4WzHPAVzBu3E,1MIe1z4RdqLqHSJsb7EBMm,undirected
49O0SPoCoTiK2Nn2tOaHyU,7tr9pbgNEKtG0GQTKe08Tz,undirected
49O0SPoCoTiK2Nn2tOaHyU,6sHCvZe1PHrOAuYlwTLNH4,undirected
49O0SPoCoTiK2Nn2tOaHyU,2jbd7OqeJJd1hz81vOXwwW,undirected
6AawJaQO4i99Be2A3w7BTW,4OSArit7O2Jaj4mgf3YN7A,undirected
6AawJaQO4i99Be2A3w7BTW,42NjRVKqEGe2DkGvlUd5qM,undirected
3CjlHNtplJyTf9npxaPl5w,1UfzhwcOR4yfX7yHTPfC9m,undirected
3CjlHNtplJyTf9npxaPl5w,5r5Va4lVQ1zjEfbJSrmCsS,undirected
3CjlHNtplJyTf9npxaPl5w,7gjAu1qr5C2grXeQFFOGeh,undirected
3CjlHNtplJyTf9npxaPl5w,5e1BZulIiYWPRm8yogwUYH,undirected
3CjlHNtplJyTf9npxaPl5w,42vg2T0Xg9yPaAgogJzoQH,undirected
3CjlHNtplJyTf9npxaPl5w,59pWgeY26Q6yJy37QvJflh,undirected
3CjlHNtplJyTf9npxaPl5w,4AGwPDdh1y8hochNzHy5HC,undirected
3CjlHNtplJyTf9npxaPl5w,0oeUpvxWsC8bWS6SnpU8b9,undirected
3CjlHNtplJyTf9npxaPl5w,5WId4o5jdGVhptNU0uqKxu,undirected
3CjlHNtplJyTf9npxaPl5w,1l9d7B8W0IHy3LqWsxP2SH,undirected
3CjlHNtplJyTf9npxaPl5w,1mSJCvDX0W7Dn7S9C6vmvI,undirected
3CjlHNtplJyTf9npxaPl5w,6fLrPFLWLSCrp7gcTZXcKb,undirected
0Zsp7eS6zZEDnEsZaJtr7U,57MtJQ6Sc4tIxrXIhrqVJL,undirected
0Zsp7eS6zZEDnEsZaJtr7U,5zb7wVUx1vTXLB6HX26EnX,undirected
3S4d3YRNGg2OhnNm3QvfhA,3xbmS6qcRWTyILBoaqAPT4,undirected
3S4d3YRNGg2OhnNm3QvfhA,2oqwwcM17wrP9hBD25zKSR,undirected
3S4d3YRNGg2OhnNm3QvfhA,3oK9o2DLbk1VEda7KOMotd,undirected
3S4d3YRNGg2OhnNm3QvfhA,1anAI9P9iSzc9qzLv6AtHZ,undirected
3S4d3YRNGg2OhnNm3QvfhA,4wYk01oPJNfaEssVFL46oQ,undirected
4hz8tIajF2INpgM0qzPJz2,5DK8eK7fjvRsziXzyr3sFA,undirected
4hz8tIajF2INpgM0qzPJz2,69tiO1fG8VWduDl3ji2qhI,undirected
4hz8tIajF2INpgM0qzPJz2,7r8xR0LmnaAM623MmRDn1V,undirected
4hz8tIajF2INpgM0qzPJz2,7vtSUU3zpHeYJfX6BPNrJd,undirected
4hz8tIajF2INpgM0qzPJz2,1ikg4sypcURm8Vy5GP68xb,undirected
4hz8tIajF2INpgM0qzPJz2,2oqwwcM17wrP9hBD25zKSR,undirected
4hz8tIajF2INpgM0qzPJz2,5ApQnMT6oR8eLguf24xb9S,undirected
4hz8tIajF2INpgM0qzPJz2,1btWGBz4Uu1HozTwb2Lm8A,undirected
4hz8tIajF2INpgM0qzPJz2,1anAI9P9iSzc9qzLv6AtHZ,undirected
4hz8tIajF2INpgM0qzPJz2,3DFoVPonoAAt4EZ1FEI8ue,undirected
4hz8tIajF2INpgM0qzPJz2,32Ko3nL0210QAt14S3Rs4Y,undirected
4hz8tIajF2INpgM0qzPJz2,4wYk01oPJNfaEssVFL46oQ,undirected
1WrqUPWlHN5FXCRcQgrkas,1xLMexpeeTKQ20SwGMaGSK,undirected
01TQ6CLvPSOYGUqRQ3nWgZ,3kzwYV3OCB010YfXMF0Avt,undirected
01TQ6CLvPSOYGUqRQ3nWgZ,4ZeB1hzT2mSZrf7wszOqHs,undirected
01TQ6CLvPSOYGUqRQ3nWgZ,2awB7Ol181cocZcLLNBBAh,undirected
01TQ6CLvPSOYGUqRQ3nWgZ,32Ko3nL0210QAt14S3Rs4Y,undirected
5sWHDYs0csV6RS48xBl0tH,0yb46jwm7gqbZXVXZQ8Z1e,undirected
5sWHDYs0csV6RS48xBl0tH,2oqwwcM17wrP9hBD25zKSR,undirected
5sWHDYs0csV6RS48xBl0tH,5ApQnMT6oR8eLguf24xb9S,undirected
5sWHDYs0csV6RS48xBl0tH,3EOEK57CV77D4ovYVcmiyt,undirected
5sWHDYs0csV6RS48xBl0tH,5tFRohaO5yEsuJxmMnlCO9,undirected
5sWHDYs0csV6RS48xBl0tH,5Lhxlge1CR1DrgDAje8Qaw,undirected
5sWHDYs0csV6RS48xBl0tH,2HOMW1liAxI3URnEq95SMS,undirected
10exVja0key0uqUkk6LJRT,4EzkuveR9pLvDVFNx6foYD,undirected
10exVja0key0uqUkk6LJRT,69tiO1fG8VWduDl3ji2qhI,undirected
10exVja0key0uqUkk6LJRT,2ysnwxxNtSgbb9t1m2Ur4j,undirected
10exVja0key0uqUkk6LJRT,4dwdTW1Lfiq0cM8nBAqIIz,undirected
10exVja0key0uqUkk6LJRT,7EGwUS3c5dXduO4sMyLWC5,undirected
10exVja0key0uqUkk6LJRT,4j56EQDQu5XnL7R3E9iFJT,undirected
10exVja0key0uqUkk6LJRT,4C50EbCS11M0VbGyH3OfLt,undirected
10exVja0key0uqUkk6LJRT,3gd8FJtBJtkRxdfbTu19U2,undirected
10exVja0key0uqUkk6LJRT,7giUHu5pv6YTZgSkxxCcgh,undirected
10exVja0key0uqUkk6LJRT,2FXC3k01G6Gw61bmprjgqS,undirected
10exVja0key0uqUkk6LJRT,16oZKvXb6WkQlVAjwo2Wbg,undirected
10exVja0key0uqUkk6LJRT,0n94vC3S9c3mb2HyNAOcjg,undirected
0Ya43ZKWHTKkAbkoJJkwIB,3pTE9iaJTkWns3mxpNQlJV,undirected
0Ya43ZKWHTKkAbkoJJkwIB,536BYVgOnRky0xjsPT96zl,undirected
0Ya43ZKWHTKkAbkoJJkwIB,0Ak6DLKHtpR6TEEnmcorKA,undirected
0Ya43ZKWHTKkAbkoJJkwIB,11wRdbnoYqRddKBrpHt4Ue,undirected
0Ya43ZKWHTKkAbkoJJkwIB,1GLtl8uqKmnyCWxHmw9tL4,undirected
1btWGBz4Uu1HozTwb2Lm8A,0YhUSm86okLWldQVwJkLlP,undirected
1btWGBz4Uu1HozTwb2Lm8A,0ZxZlO7oWCSYMXhehpyMvE,undirected
1btWGBz4Uu1HozTwb2Lm8A,6fC2AcsQtd9h4BWELbbire,undirected
1btWGBz4Uu1HozTwb2Lm8A,6R664N4cEza3eORSqKSgO4,undirected
1btWGBz4Uu1HozTwb2Lm8A,5DK8eK7fjvRsziXzyr3sFA,undirected
1btWGBz4Uu1HozTwb2Lm8A,2OK16hAFRHoJiFZKeZe8A8,undirected
1btWGBz4Uu1HozTwb2Lm8A,1MIe1z4RdqLqHSJsb7EBMm,undirected
1btWGBz4Uu1HozTwb2Lm8A,1jNnM5dm7dzt16IocWCvJc,undirected
1btWGBz4Uu1HozTwb2Lm8A,7vtSUU3zpHeYJfX6BPNrJd,undirected
1btWGBz4Uu1HozTwb2Lm8A,1ikg4sypcURm8Vy5GP68xb,undirected
1btWGBz4Uu1HozTwb2Lm8A,1anAI9P9iSzc9qzLv6AtHZ,undirected
1btWGBz4Uu1HozTwb2Lm8A,4wYk01oPJNfaEssVFL46oQ,undirected
75dQReiBOHN37fQgWQrIAJ,0K1q0nXQ8is36PzOKAMbNe,undirected
75dQReiBOHN37fQgWQrIAJ,4mLJ3XfOM5FPjSAWdQ2Jk7,undirected
75dQReiBOHN37fQgWQrIAJ,6dgwEwnK0YtDfS9XhRwBTG,undirected
75dQReiBOHN37fQgWQrIAJ,3pTE9iaJTkWns3mxpNQlJV,undirected
75dQReiBOHN37fQgWQrIAJ,6FIrstf3kHEg3zBOyLpvxD,undirected
75dQReiBOHN37fQgWQrIAJ,3HJIB8sYPyxrFGuwvKXSLR,undirected
75dQReiBOHN37fQgWQrIAJ,4EVpmkEwrLYEg6jIsiPMIb,undirected
75dQReiBOHN37fQgWQrIAJ,7gjAu1qr5C2grXeQFFOGeh,undirected
75dQReiBOHN37fQgWQrIAJ,57MtJQ6Sc4tIxrXIhrqVJL,undirected
75dQReiBOHN37fQgWQrIAJ,04HvbIwBccFmRie5ATX4ft,undirected
75dQReiBOHN37fQgWQrIAJ,4j56EQDQu5XnL7R3E9iFJT,undirected
75dQReiBOHN37fQgWQrIAJ,2Jv5eshHtLycR6R8KQCdc4,undirected
75dQReiBOHN37fQgWQrIAJ,1l9d7B8W0IHy3LqWsxP2SH,undirected
75dQReiBOHN37fQgWQrIAJ,41SQP16hv1TioVYqdckmxT,undirected
75dQReiBOHN37fQgWQrIAJ,6VDdCwrBM4qQaGxoAyxyJC,undirected
4SdIXLzfabqU61iK7SnKAU,4OSArit7O2Jaj4mgf3YN7A,undirected
4SdIXLzfabqU61iK7SnKAU,42NjRVKqEGe2DkGvlUd5qM,undirected
4SdIXLzfabqU61iK7SnKAU,6AawJaQO4i99Be2A3w7BTW,undirected
2HkSsS8O2U2gPhnCGVN5vn,0ZxZlO7oWCSYMXhehpyMvE,undirected
2HkSsS8O2U2gPhnCGVN5vn,5CXdWANGwYYRPClH6hhC0P,undirected
0rpMdBzQXf7aYRnu5fDBJy,3u1ulLq00Y3bfmq9FfjsPu,undirected
0rpMdBzQXf7aYRnu5fDBJy,6zvul52xwTWzilBZl6BUbT,undirected
0rpMdBzQXf7aYRnu5fDBJy,6A43Djmhbe9100UwnI7epV,undirected
6zVFRTB0Y1whWyH7ZNmywf,7CIW23FQUXPc1zebnO1TDG,undirected
26T3LtbuGT1Fu9m0eRq5X3,4F84IBURUo98rz4r61KF70,undirected
26T3LtbuGT1Fu9m0eRq5X3,4mLJ3XfOM5FPjSAWdQ2Jk7,undirected
26T3LtbuGT1Fu9m0eRq5X3,6dgwEwnK0YtDfS9XhRwBTG,undirected
26T3LtbuGT1Fu9m0eRq5X3,2RhgnQNC74QoBlaUvT4MEe,undirected
26T3LtbuGT1Fu9m0eRq5X3,7gP3bB2nilZXLfPHJhMdvc,undirected
26T3LtbuGT1Fu9m0eRq5X3,0epOFNiUfyON9EYx7Tpr6V,undirected
26T3LtbuGT1Fu9m0eRq5X3,0Ya43ZKWHTKkAbkoJJkwIB,undirected
26T3LtbuGT1Fu9m0eRq5X3,536BYVgOnRky0xjsPT96zl,undirected
26T3LtbuGT1Fu9m0eRq5X3,7mnBLXK823vNxN3UWB7Gfz,undirected
26T3LtbuGT1Fu9m0eRq5X3,0SwO7SWeDHJijQ3XNS7xEE,undirected
26T3LtbuGT1Fu9m0eRq5X3,4j56EQDQu5XnL7R3E9iFJT,undirected
26T3LtbuGT1Fu9m0eRq5X3,3hozsZ9hqNq7CoBGYNlFTz,undirected
26T3LtbuGT1Fu9m0eRq5X3,1Li0eIWeMeWcOOWpImcG9H,undirected
26T3LtbuGT1Fu9m0eRq5X3,3kVUvbeRdcrqQ3oHk5hPdx,undirected
26T3LtbuGT1Fu9m0eRq5X3,4wo1267SJuUfHgasdlfNfc,undirected
26T3LtbuGT1Fu9m0eRq5X3,4kI8Ie27vjvonwaB2ePh8T,undirected
